"CountryCode","SeriesCode","DESCRIPTION",
"ARM","IT.CEL.SETS.P2","Ministry of Transport and Communications.",
"ARM","SP.DYN.CBRT.IN","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.CDRT.IN","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNX.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.AMRT.FE","Data source: United Nations World Population Prospects",
"ARM","ST.INT.TRNR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","ST.INT.ARVL","Arrivals of non-resident tourists at national borders.",
"ARM","ST.INT.TVLR.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","IT.CEL.SETS","Ministry of Transport and Communications.",
"ARM","IT.MLT.MAIN.P2","Ministry of Transport and Communications.",
"ARM","SM.POP.NETM","Data source: United Nations World Population Prospects",
"ARM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ARM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ARM","ST.INT.RCPT.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","EG.ELC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","ST.INT.DPRT","Departures - trips abroad by resident tourists.",
"ARM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. Number of refugees reported by the UN Refugee Agency (UNHCR) are added to the migrant stock estimates. ",
"ARM","IT.NET.BBND.P2","Ministry of Transport and Communications.",
"ARM","IT.NET.BBND","Ministry of Transport and Communications.",
"ARM","SP.DYN.LE00.FE.IN","Data source: United Nations World Population Prospects",
"ARM","IT.MLT.MAIN","Ministry of Transport and Communications.",
"ARM","IT.NET.USER.ZS","Ministry of Transport and Communications.",
"ARM","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ARM","EG.EGY.PRIM.PP.KD","Sources: World Energy Statistics and Balances, IEA (2014); World Development Indicators, WDI (2014)",
"ARM","SP.DYN.AMRT.MA","Data source: United Nations World Population Prospects",
"ARM","SP.DYN.LE00.IN","Data source: United Nations World Population Prospects",
"ARM","EG.FEC.RNEW.ZS","Sources: World Energy Statistics and Balances, IEA (2014)",
"ARM","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ARM","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ASM","SM.POP.TOTL","Estimates are derived from data on foreign-born population. The estimates for American Samoa reflect, to the extent possible, all persons born outside its territory.",
"ASM","IT.CEL.SETS","American Samoa Telecommunications Authority.",
"ASM","ST.INT.TRNR.CD","Compiled from data reported by the country.",
"ASM","SP.DYN.CBRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ASM","ST.INT.TRNX.CD","Compiled from data reported by the country.",
"ASM","IT.CEL.SETS.P2","American Samoa Telecommunications Authority.",
"ASM","IT.MLT.MAIN","American Samoa Telecommunications Authority.",
"ASM","ST.INT.RCPT.CD","Compiled from data reported by the country.",
"ASM","ST.INT.XPND.CD","Compiled from data reported by the country.",
"ASM","IT.NET.USER.ZS","American Samoa Telecommunications Authority.",
"ASM","BM.KLT.DINV.CD.WD","Source: United Nations Conference on Trade and Development, Foreign Direct Investment Online database.",
"ASM","IT.NET.BBND.P2","American Samoa Telecommunications Authority.",
"ASM","ST.INT.ARVL","Arrivals of non-resident tourists at national borders. 2018 data source: South Pacific Tourism Organisation (2018 Annual Visitor Arrivals Report).",
"ASM","IT.MLT.MAIN.P2","American Samoa Telecommunications Authority.",
"ASM","IT.NET.BBND","American Samoa Telecommunications Authority.",
"ASM","SP.POP.GROW","Data source: United Nations World Population Prospects",
"ASM","SP.POP.TOTL","Data source: United Nations World Population Prospects",
"ASM","ST.INT.TVLX.CD","Compiled from data reported by the country.",
"ASM","ST.INT.TVLR.CD","Compiled from data reported by the country. Source: South Pacific Tourism Organisation - Regional Tourism Resource Centre.",
"ASM","SP.DYN.CDRT.IN","Data source: United Nations Population and Vital Statistics Report",
"ATG","IT.MLT.MAIN","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","ST.INT.XPND.CD","Compiled from data reported in the International Monetary Fund's Balance of Payment Statistics database.",
"ATG","SP.DYN.TFRT.IN","Data source: United Nations World Population Prospects",
"ATG","IT.NET.USER.ZS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SM.POP.TOTL","Estimates are derived from data on foreign-born population. ",
"ATG","SP.DYN.LE00.MA.IN","Data source: United Nations World Population Prospects",
"ATG","EG.EGY.PRIM.PP.KD","Sources: Estimated based on UN Energy Statistics (2014); World Development Indicators, WDI (2014)",
"ATG","EG.FEC.RNEW.ZS","Sources: UN Energy Statistics (2014)",
"ATG","IT.NET.BBND.P2","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.CEL.SETS","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","IT.NET.BBND","Cable and Wireless (W.I.) Ltd. (C&W). A.P.U.A. Telephones. Digicel.",
"ATG","SP.POP.GROW","Data source: United Nations World Population Prospects",
